id_leiloeiro,leiloeiro_nome,site,total
698,,,2489
27,,,293
287,,,125
29,Gestor de Leilões,https://gestordeleiloes.com.br,115
684,,,109
492,Machado Leiloeiro,https://www.machadoleiloeiro.com.br,93
505,Aragão Leilões,https://www.aragaoleiloes.com.br,92
413,,,70
134,Grupo Lance,https://www.grupolance.com.br,66
56,Comprei,https://comprei.pgfn.gov.br,57
55,Central Sul de Leilões,https://www.centralsuldeleiloes.com.br,57
520,,,40
285,,,36
469,Muller Leilões,https://www.mullerleiloes.com.br,28
538,,,28
689,Juliana Vettorazzo,https://www.jvleiloes.lel.br,26
375,,,26
314,Pestana Leilões,https://www.leeilon.com.br,22
10,Alfa Leilões,https://www.leeilon.com.br,19
137,,,19
86,Zalli Leilões,https://www.zallileiloes.com.br,18
85,,,17
524,,,17
286,Mega Leilões,https://www.megaleiloes.com.br,17
657,Leilão Brasil,https://www.leilaobrasil.com.br,17
695,Topo Leilões,https://topoleiloes.com.br,16
258,,,15
93,Destak Leilões,https://www.destakleiloes.com.br,15
298,Frederico Krausegg Leilões,https://www.fredericoleiloes.com.br,14
142,Lance no Leilão,https://www.leeilon.com.br,14
352,,,14
683,,,13
9,,,13
398,,,13
331,Rocha Leilões,https://www.rochaleiloes.com.br,13
51,Bom Valor,https://www.leeilon.com.br,12
596,,,12
658,Valero Leilões,https://www.valeroleiloes.com.br,11
693,Luthero Leilões,https://www.lutheroleiloes.com.br,11
313,Paulo Botelho Leiloeiro,https://www.paulobotelholeiloeiro.com.br,11
140,,,9
419,Schulmann Leiloes,https://www.schulmannleiloes.com.br,9
614,Santander,https://www.leeilon.com.br,9
634,Mario Ricart Leiloeiro,https://www.ricartleiloes.com.br,8
6,,,8
117,Viva Leilões,https://www.vivaleiloes.com.br,8
127,Fidalgo Leilões,https://www.leeilon.com.br,7
433,Isaias Leilões,https://isaiasleiloes.com.br,7
526,,,7
99,Franco Leiloes,https://www.leeilon.com.br,7
233,Scotto Leilões,https://www.leeilon.com.br,7
