id_leiloeiro,leiloeiro_nome,site,total
54,Central Judicial,https://www.centraljudicial.com.br,3
241,Szortyka Leilões,https://www.leeilon.com.br,2
228,Ritta Leilões,https://www.leeilon.com.br,2
360,,,2
291,Onildo Bastos Leiloeiro,https://www.onildobastos.com.br,2
529,Agência Leilões,https://www.agencialeilao.com.br,2
368,Galvani Leiloes,https://www.galvanileiloes.com.br,2
446,,,2
482,Cravo Leilões,https://www.cravoleiloes.com.br,2
395,Verde Amarelo Leilões,https://www.verdeamareloleiloes.com.br,2
245,NS Leilões,https://www.leeilon.com.br,2
359,Cida Fixer Leiloes,https://www.cidafixerleiloes.com.br,2
543,,,2
556,,,2
587,Hoppe Leilões,https://www.leeilon.com.br,2
533,,,2
82,Raota Leilões,https://www.raotaleiloes.com.br,2
438,Best Leilões,https://www.bestleiloes.com.br,2
652,Mais Leilão,https://www.maisleilao.com.br,2
53,,,2
350,,,2
341,,,2
87,,,2
303,Silas e Anderson Leilões,https://www.leeilon.com.br,2
243,JAC Leilões,https://www.leeilon.com.br,2
237,Leffa Leilões,https://www.leeilon.com.br,2
329,,,2
62,,,2
45,,,2
692,,,2
323,,,2
334,Vasconcelos Leilões,https://vasconcelosleiloes.com.br,2
41,,,2
560,Argo Network Leilões,https://www.superbid.net,2
88,Positivo Leilões,https://www.positivoleiloes.com.br,2
290,BSP leiloes,https://www.bspleiloes.com.br,2
89,Casa Reis Leilões,https://www.casareisleiloes.com.br,2
141,Lance Certo,https://www.leeilon.com.br,2
593,Jrf Leilões,https://www.superbid.net,2
591,Joney Marcelo Lopes Ferreira,https://www.leeilon.com.br,2
682,Rodrigo Costa Leiloeiro,https://www.rodrigocostaleiloeiro.com.br,2
636,Gustavo Reis Leiloes,https://www.gustavoreisleiloes.com.br,2
382,Maria Fixer Leiloes,https://www.mariafixerleiloes.com.br,1
37,DBS Leilões,https://dbsleiloes.com.br,1
366,Fabio Leiloes,https://www.fabioleiloes.com.br,1
372,Igor de Souza Leiloes,https://www.desouzaleiloes.com.br,1
453,GSP Leilões,https://www.gspleiloes.com.br,1
292,Vianna Leilões,https://www.viannaleiloes.com.br,1
481,Octavio Leilões,https://www.octavioleiloes.com.br,1
527,Nogari Leilões,https://www.nogarileiloes.com.br,1
660,,,1
479,,,1
125,E-Leilões,https://www.e-leiloes.com.br,1
396,Verri Leiloes,https://www.verrileiloes.com.br,1
504,,,1
639,Pâmela Alves Leiloeira,https://www.pamelaleiloeira.com.br,1
106,Multiplique Leilões,https://www.multipliqueleiloes.com.br,1
42,,,1
111,,,1
450,Cardoso Leilões,https://www.cardosoleiloes.com.br,1
109,Pecini Leilões,https://www.pecinileiloes.com.br,1
696,Tri Leilões,https://www.trileiloes.com.br,1
562,Balbo Leilões,https://www.superbid.net,1
249,Sérgio Scholante Leilões,https://www.leeilon.com.br,1
151,Super Leilões,https://www.leeilon.com.br,1
235,Santa Maria Leilões,https://www.leeilon.com.br,1
328,,,1
16,Golden Leilões,https://www.leeilon.com.br,1
602,Monzon Leilões,https://www.leeilon.com.br,1
190,De Lucca Leilões,https://www.leeilon.com.br,1
191,Farias Leilões,https://www.leeilon.com.br,1
222,Fernanda Leilões,https://www.leeilon.com.br,1
226,MP Leilão,https://www.leeilon.com.br,1
643,Sandra Santos Leilões,https://www.sandrasantosleiloes.com.br,1
649,Rofrem Leilões,https://www.rofremleiloes.com.br,1
150,Rubem Garcia,https://www.leeilon.com.br,1
629,Mariano Leilões,https://www.leeilon.com.br,1
198,Valerio Iamin Leilões,https://www.leeilon.com.br,1
31,,,1
133,Miranda Carvalho Leilões,https://www.mirandacarvalholeiloes.com.br,1
296,Brites Leiloeiro,https://www.britesleiloeiro.com.br,1
548,,,1
367,,,1
369,Gilson Leilões,https://www.gilsonleiloes.com.br,1
440,João Luiz Leilões,https://www.joaoluizleiloes.com.br,1
170,Pessoa Leilões,https://www.leeilon.com.br,1
269,Select Leiloeiro,https://www.selectleiloes.com.br,1
519,Leilões Aguiar,https://www.leiloesaguiar.com.br,1
671,Façanha Leilões,https://www.facanhaleiloes.com.br,1
540,Tribuna Leilões,https://www.tribunaleiloes.com.br,1
762,Faro Leilões,https://www.superbid.net,1
104,Leilao Net,https://www.leilaonet.com.br,1
355,Bruno Leilões,https://www.brunoleiloes.com.br,1
412,Caiapo Leilões,https://www.caiapoleiloes.com.br,1
311,MV Leilões,https://www.leeilon.com.br,1
105,Milhão Leilões,https://www.leeilon.com.br,1
528,Damásio Leilões,https://www.damasioleiloes.com.br,1
569,Camila Presotto Leilões,https://www.leeilon.com.br,1
