leiloeiro,titulo,preco,data_leilao,url
Vera Maria Aguiar de Sousa,"12 (doze) BOIS, ACIMA DE 36 MESES, COSTA MARQUES/RO 
 
 
 
 
 12 (DOZE) BOIS, SEM RA","5.375,00",09/06/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"APARTAMENTO EM CUIABÁ 
 
 
 
 
 Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAM",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"APARTAMENTO EM CUIABÁ 
 
 
 
 
 Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAMEN",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"APARTAMENTO EM CUIABÁ 
 
 
 
 
 Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAMENTO",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"Envie sua proposta até:  30/07/2026 às 10:00 
 APARTAMENTO NO 1001 DO CONDOMÍNIO GARDEN VILLE, L",Não informado,30/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. 
 
 
 
 
 Env",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. 
 
 
 
 
 Envie",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"IMÓVEL RESIDENCIAL , CENTRO, AO LADO DA FACULDADE UNIP, EM JI-PARANÁ/RO. 
 
 
 
 
 Envie s",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"Envie sua proposta até:  31/07/2026 às 10:00 
 IMÓVEL COM ÁREA DE 400,00 M², MATRÍCULA Nº 23.654",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. 
 
 
 
 
 Env",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. 
 
 
 
 
 Envie",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"GRANDE ÁREA URBANA EM OURO PRETO D'OESTE,  C/ 75.133,00 m2, DOCUMENTADA. 
 
 
 
 
 Envie s",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
Vera Maria Aguiar de Sousa,"Envie sua proposta até:  31/07/2026 às 10:00 
 IMÓVEL LOCALIZADO NA RUA OLINDA, S/N, BAIRRO DO I",Não informado,31/07/2026,https://www.leiloesaguiar.com.br/
