dominio,online,http_status,url_final,tempo_ms,bloqueia_bot,motivo_bloqueio,tem_sitemap,sitemaps,tem_jsonld,tipos_jsonld,tem_opengraph,plataforma,favicon_hash,cluster,servidor,titulo,ssl_ok,erro
www.e-confianca.com.br,SIM,200,https://www.e-confianca.com.br/,922,não,,SIM,https://www.e-leiloes.com.br/sitemap_index.xml | https://www.e-leiloes.com.br/sitemap_leiloes.xml | https://www.e-leiloes.com.br/sitemap_lotes.xml,SIM,"ContactPoint, ItemList, Organization, Person, SaleEvent, SearchAction, VirtualLocation, WebSite",SIM,WordPress,21fdd2e40ce991dd00a69421488de827,WordPress,cloudflare,CONFIANCALEILOES | Leilões on-line para quem quer comprar ou vender.,NÃO,
www.faroonline.com.br,SIM,200,https://www.faroonline.com.br/,329,não,,SIM,https://www.faroonline.com.br/sitemap.xml,não,,não,,7272ef24dc14cf477be99500054670dd,asset:cdn.cookie-script.com,cloudflare,Faro Online,NÃO,
www.fabioleiloes.com.br,SIM,200,https://www.fabioleiloes.com.br/,746,não,,não,,não,,SIM,,38316331d6a3957d5be7053248554eb8,asset:s3-sa-east-1.amazonaws.com,nginx,Fabio Leilões,NÃO,
www.depaulaonline.com.br,SIM,200,https://www.depaulaonline.com.br/,1404,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,De Paula Leilões,NÃO,
www.fidalgoleiloes.com.br,SIM,200,https://www.fidalgoleiloes.com.br/,236,não,,não,,não,,não,,b5b72496bad83586f327dd819aed1726,favicon:b5b72496ba,cloudflare,Fidalgo Leilões :: Gestão de Leilões,NÃO,
www.dhleiloes.com.br,SIM,200,https://www.dhleiloes.com.br/,1126,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,DH Leilões,NÃO,
www.desantileiloes.com.br,SIM,200,https://www.desantileiloes.com.br/,1074,não,,SIM,https://www.desantileiloes.com.br/sitemap.xml,não,,SIM,,a903f2ae9f0360a1a6d9a153ddf885c6,favicon:a903f2ae9f,cloudflare,"Leilões Judiciais e Extrajudiciais, Online e Presenciais",NÃO,
www.franklinleiloes.com.br,SIM,200,https://www.franklinleiloes.com.br/,315,não,,SIM,https://www.franklinleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Franklin Leilões | Leilões judiciais e extrajudiciais,NÃO,
www.facanhaleiloes.com.br,SIM,200,https://www.facanhaleiloes.com.br/,787,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Façanha Leilões,NÃO,
www.francoleiloes.com.br,SIM,200,https://www.francoleiloes.com.br/,291,não,,SIM,https://www.francoleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Franco Leilões | Leilões judiciais e extrajudiciais,NÃO,
www.freitasleiloeiro.com.br,SIM,200,https://www.freitasleiloeiro.com.br/,230,não,,não,,não,,não,,9200225b96881264e6481c77d69c622c,asset:cdn3.freitasleiloeiro.com.br,gocache,"Freitas Leiloeiro | Leilão de Veículos, Imóveis e Materiais | Freitas Leiloeiro - Site Oficial",NÃO,
www.fvleiloes.com.br,SIM,200,https://www.fvleiloes.com.br/,226,não,,SIM,/sitemap/cms | /sitemap/leiloes | /sitemap/lotes,não,,SIM,,4fc21bcac5a287efab2d874c729ddd2e,favicon:4fc21bcac5,cloudflare,Carregando...,NÃO,
www.frazaoleiloes.com.br,SIM,200,https://www.frazaoleiloes.com.br/,637,não,,SIM,https://www.frazaoleiloes.com.br/sitemap.xml,SIM,"Answer, BreadcrumbList, ContactPoint, Event, FAQPage, ListItem, Offer, Organization, Place, PostalAddress, Question, Sea",SIM,,058debbffbbeacd79f2a58cbae76236e,asset:cdn.frazaoleiloes.com.br,gocache,Leilão de Imóveis Online e Presencial | Frazão Leilões,NÃO,
www.fabianoayuppleiloeiro.com.br,SIM,200,https://www.fabianoayuppleiloeiro.com.br/,1058,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Fabiano Ayupp,NÃO,
www.gaialeiloes.com.br,SIM,200,https://www.gaialeiloes.com.br/,384,SIM,captcha,SIM,https://www.gaialeiloes.com.br/sitemap.xml,não,,não,Superbid,81ae0be9497b5593cb5ae2d79ab34be2,Superbid,cloudflare,Gaia Leilões,NÃO,
www.fredericoleiloes.com.br,SIM,200,https://www.fredericoleiloes.com.br/,876,não,,não,,não,,não,,,—,cloudflare,,NÃO,
www.giordanoleiloes.com.br,SIM,200,https://www.giordanoleiloes.com.br/,736,não,,não,,não,,SIM,,38316331d6a3957d5be7053248554eb8,asset:s3-sa-east-1.amazonaws.com,nginx,Giordano Leilões,NÃO,
www.gpleiloes.com.br,SIM,200,https://www.gpleiloes.com.br/,587,não,,não,,não,,não,,69141c184a2606966f2c0dd8b2b690f1,favicon:69141c184a,Apache/2.4.41 (Ubuntu),GP Leilões,NÃO,
www.gilsonleiloes.com.br,SIM,200,https://www.gilsonleiloes.com.br/,769,não,,não,,não,,SIM,,38316331d6a3957d5be7053248554eb8,asset:s3-sa-east-1.amazonaws.com,nginx,Gilson Leilões,NÃO,
www.globoleiloes.com.br,SIM,200,https://globoleiloes.com.br/,2501,não,,não,,não,,SIM,,,—,cloudflare,Globo Leilões,NÃO,
www.glleiloes.com.br,SIM,200,https://www.glleiloes.com.br/,1542,não,,SIM,https://www.glleiloes.com.br/sitemap.xml,não,,SIM,,d6e68fd89d424f9cfd5a6777898c2d48,favicon:d6e68fd89d,cloudflare,GL Leilões | Leiloeiro Oficial - Leilões de imóveis e  veículos,NÃO,
www.guariglialeiloes.com.br,SIM,200,https://www.guariglialeiloes.com.br/,947,não,,SIM,https://www.guariglialeiloes.com.br/sitemap.xml,não,,SIM,,07ee028ea5810352bc4ba3e589b67620,asset:cdn.guariglialeiloes.com.br,cloudflare,Guariglia Leilões,NÃO,
www.hastapublica.com.br,SIM,200,https://www.hastapublica.com.br/,587,não,,não,,não,,SIM,,,asset:code.jivosite.com,Apache/2.4.41 (Amazon) OpenSSL/1.0.2k-fips PHP/7.0.33,HastaPública Leilões   | Credibilidade em Leilões,NÃO,
www.hoppeleiloes.com.br,SIM,200,https://www.hoppeleiloes.com.br/,323,SIM,captcha,SIM,https://www.hoppeleiloes.com.br/sitemap.xml,não,,não,Superbid,7083af2e28c09c10f3085fdfed752830,Superbid,cloudflare,hoppeleiloes,NÃO,
www.impactoleiloes.com.br,SIM,200,https://www.impactoleiloes.com.br/,280,não,,SIM,https://www.impactoleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Impacto Leilões | Leilões judiciais e extrajudiciais,NÃO,
www.gustavoleiloeiro.lel.br,SIM,200,https://gustavoleiloeiro.com.br,650,não,,não,,não,,SIM,,,asset:static.suporteleiloes.com.br,cloudflare,Leiloeiro Gustavo Lourenço,NÃO,
www.hammer.lel.br,SIM,200,https://www.hammer.lel.br/,1633,não,,SIM,https://www.hammer.lel.br/sitemap.xml,não,,SIM,,df7f1e05081f75850e7e3818f28b8cf0,asset:371b20f301d0e919.cdn.gocache.net,cloudflare,HAMMER | CASA DE LEILÕES,NÃO,
www.gustavoreisleiloes.com.br,SIM,200,https://www.gustavoreisleiloes.com.br/,1056,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,cloudflare,Gustavo Reis Leilões - Leiloeiro Público Oficial,NÃO,
www.hastavip.com.br,SIM,200,https://www.leilaovip.com.br/,373,não,,SIM,https://www.vipleiloes.com.br/sitemap.xml | https://www.leilaovip.com.br/sitemap.xml,não,,não,,1ef07a54c3ffdccd736f99a6e4f90678,asset:armazupleilaovipprd.blob.core.windows.net,Microsoft-IIS/10.0,Leilão VIP - Destaques,NÃO,
www.jikalleiloes.com.br,SIM,200,https://www.jikalleiloes.com.br/,365,não,,SIM,https://www.jikalleiloes.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Jikal Leilões,NÃO,
www.inovaleilao.com.br,SIM,200,https://www.inovaleilao.com.br/,329,não,,SIM,https://www.inovaleilao.com.br/sitemap.xml,não,,SIM,,,—,cloudflare,Inova Leilão | Leilões judiciais e extrajudiciais,NÃO,
www.iniciativabr.com.br,SIM,200,https://www.iniciativabr.com.br/,1028,não,,não,,não,,não,,,asset:static.suporteleiloes.com.br,Apache,Iniciativa BR,NÃO,
www.judhastas.com.br,SIM,200,https://www.judhastas.com.br/externo/,347,não,,não,,não,,SIM,,,asset:sawpf.com,cloudflare,judHastas - Leilões Judiciais & Extrajudiciais |,NÃO,
