leiloeiro,url,titulo,cidade,estado,preco,avaliacao,desconto_pct,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242248/terreno-no-lt-08-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 08 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242249/terreno-no-lt-09-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 09 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242250/terreno-no-lt-10-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 10 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,52586.22,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242251/terreno-no-lt-02-qd-a-com-area-de-364-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 02 QD A, com área de 364,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242252/terreno-no-lt-08-qd-d-com-area-de-360-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 08 QD D, com área de 360,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242253/terreno-no-lt-10-qd-d-com-area-de-360-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 10 QD D, com área de 360,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242254/terreno-no-lt-14-qd-d-com-area-de-360-00m2-no-lot-arlei-pagnan-estacao-cocal-em-morro-da-fumaca-sc,"Terreno no LT 14 QD D, com área de 360,00m², no Lot. Arlei Pagnan, Estação Cocal, em Morro da Fumaça/SC",Urussanga,SC,37546.56,73620.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242255/terreno-com-area-de-375-00m2-com-edificacao-de-aprox-154-00m2-no-balneario-esplanada-em-jaguaruna-sc,"Terreno com área de 375,00m², com Edificação de aprox. 154,00m², no Balneário Esplanada, em Jaguaruna/SC",Urussanga,SC,257462.13,504827.71,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11455/lote/242346/imovel-com-area-de-560-00m2-com-edificacao-de-aprox-140-00m2-e-galpao-de-aprox-600-00m2-em-tubarao-sc,"Imóvel com área de 560,00m², com Edificação de aprox. 140,00m² e Galpão de aprox. 600,00m², em Tubarão/SC",Tubarão,SC,637500.0,1250000.0,51.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11407/lote/242278/apartamento-no-124-torre-02-no-cond-maxhaus-praia-brava-no-municipio-de-itajai-sc,"Apartamento nº 124, Torre 02, no Cond. Maxhaus Praia Brava, no Município de Itajaí/SC",Itajaí,SC,520849.94,1021274.4,51.0,False
