leiloeiro,url,titulo,cidade,estado,preco,duplicado
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11416/lote/242292/terreno-com-area-de-355-00m2-bairro-barro-vermelho-em-orleans-sc,"Terreno com área de 355,00m², bairro Barro Vermelho, em Orleans/SC",Tubarão,SC,127500.0,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11440/lote/242327/terreno-de-posse-com-area-de-342-00m2-com-area-construida-de-aprox-612-50m2-vargem-grande-em-florianopolis-sc,"Terreno de posse com área de 342,00m², com área construída de aprox. 612,50m², Vargem Grande, em Florianópolis/SC",Florianópolis,SC,195162.94,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242241/terreno-no-lt-01-qd-e-com-area-de-360-00m2-no-lot-amelia-em-urussanga-sc,"Terreno no LT 01 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242242/terreno-no-lt-02-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 02 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242243/terreno-no-lt-03-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 03 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242244/terreno-no-lt-04-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 04 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242245/terreno-no-lt-05-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 05 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242246/terreno-no-lt-06-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 06 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242247/terreno-no-lt-07-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 07 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242248/terreno-no-lt-08-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 08 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242249/terreno-no-lt-09-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 09 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
Central Sul de Leilões,https://www.centralsuldeleiloes.com.br/leilao/11393/lote/242250/terreno-no-lt-10-qd-e-com-area-de-360-00m2-no-lot-amelia-em-morro-da-fumaca-sc,"Terreno no LT 10 QD E, com área de 360,00m², no Lot. Amélia, em Morro da Fumaça/SC",Urussanga,SC,26818.97,False
